Price,Close,High,Low,Open,Volume
Ticker,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X
Datetime,,,,,
2024-12-18 00:00:00+00:00,0.6988256928,0.6988696452,0.6987641628,0.698816895,0
2024-12-18 00:01:00+00:00,0.6988344906,0.698878443,0.6987729605999999,0.6988256928,0
2024-12-18 00:02:00+00:00,0.6988432884,0.699007392,0.698641121,0.6988344906,0
2024-12-18 00:03:00+00:00,0.6988520862000001,0.6988960386,0.6987905562,0.6988432884,0
2024-12-18 00:04:00+00:00,0.698860884,0.6989048364,0.698799354,0.6988520862000001,0
2024-12-18 00:05:00+00:00,0.6989194752,0.69893412,0.69883644,0.6989097,0
2024-12-18 00:06:00+00:00,0.6989292504,0.6989438952,0.6988462152,0.6989194752,0
2024-12-18 00:07:00+00:00,0.6989390256,0.699007392,0.6986655,0.6989292504,0
2024-12-18 00:08:00+00:00,0.6989488008,0.6989634456,0.6988657656,0.6989390256,0
2024-12-18 00:09:00+00:00,0.698958576,0.6989732208,0.6988755408,0.6989488008,0
2024-12-18 00:10:00+00:00,0.6987876176,0.6988476991999999,0.6987754106,0.698782742,0
2024-12-18 00:11:00+00:00,0.6987924932,0.6988525748000001,0.6987802862,0.6987876176,0
2024-12-18 00:12:00+00:00,0.6987973688,0.699007392,0.698758304,0.6987924932,0
2024-12-18 00:13:00+00:00,0.6988022444,0.698862326,0.6987900374,0.6987973688,0
2024-12-18 00:14:00+00:00,0.69880712,0.6988672015999999,0.6987949130000001,0.6988022444,0
2024-12-18 00:15:00+00:00,0.6988119958,0.6988794265,0.6987983402,0.69880712,0
2024-12-18 00:16:00+00:00,0.6988168716,0.6988843023,0.698803216,0.6988119958,0
2024-12-18 00:17:00+00:00,0.6988217474,0.699056268,0.698777854,0.6988168716,0
2024-12-18 00:18:00+00:00,0.6988266232,0.6988940539,0.6988129676,0.6988217474,0
2024-12-18 00:19:00+00:00,0.698831499,0.6988989297,0.6988178434,0.6988266232,0
2024-12-18 00:20:00+00:00,0.698837423,0.6989058134999999,0.6988257107,0.698841333,0
2024-12-18 00:21:00+00:00,0.698833513,0.6989019034999999,0.6988218007,0.698837423,0
2024-12-18 00:22:00+00:00,0.698829603,0.699056268,0.698782742,0.698833513,0
2024-12-18 00:23:00+00:00,0.698825693,0.6988940834999999,0.6988139807,0.698829603,0
2024-12-18 00:24:00+00:00,0.698821783,0.6988901734999999,0.6988100707,0.698825693,0
2024-12-18 00:25:00+00:00,0.6988334654,0.6988876878,0.6988085744,0.698836386,0
2024-12-18 00:26:00+00:00,0.6988305448,0.6988847672,0.6988056537999999,0.6988334654,0
2024-12-18 00:27:00+00:00,0.6988276242,0.699007392,0.698738813,0.6988305448,0
2024-12-18 00:28:00+00:00,0.6988247035999999,0.698878926,0.6987998125999999,0.6988276242,0
2024-12-18 00:29:00+00:00,0.698821783,0.6988760053999999,0.698796892,0.6988247035999999,0
2024-12-18 00:30:00+00:00,0.6988129972,0.6988774657,0.6988056661000001,0.698821783,0
2024-12-18 00:31:00+00:00,0.6988042114,0.6988686799,0.6987968803000001,0.6988129972,0
2024-12-18 00:32:00+00:00,0.6987954256,0.699007392,0.698753417,0.6988042114,0
2024-12-18 00:33:00+00:00,0.6987866398,0.6988511083,0.6987793087,0.6987954256,0
2024-12-18 00:34:00+00:00,0.698777854,0.6988423225,0.6987705229000001,0.6987866398,0
2024-12-18 00:35:00+00:00,0.6989312174,0.6989732208,0.6989180387,0.698958576,0
2024-12-18 00:36:00+00:00,0.6989038587999999,0.6989458622,0.6988906801,0.6989312174,0
2024-12-18 00:37:00+00:00,0.6988765002,0.699007392,0.698777854,0.6989038587999999,0
2024-12-18 00:38:00+00:00,0.6988491416,0.698891145,0.6988359629,0.6988765002,0
2024-12-18 00:39:00+00:00,0.698821783,0.6988637864,0.6988086043,0.6988491416,0
2024-12-18 00:40:00+00:00,0.698830581,0.6988935950999999,0.6988134923,0.698826671,0
2024-12-18 00:41:00+00:00,0.698834491,0.6988975050999999,0.6988174023,0.698830581,0
2024-12-18 00:42:00+00:00,0.698838401,0.699056268,0.698782742,0.698834491,0
2024-12-18 00:43:00+00:00,0.698842311,0.6989053251,0.6988252223000001,0.698838401,0
2024-12-18 00:44:00+00:00,0.698846221,0.6989092351,0.6988291323000001,0.698842311,0
2024-12-18 00:45:00+00:00,0.6988745568,0.6989185272,0.6988349973,0.698865771,0
2024-12-18 00:46:00+00:00,0.6988833426,0.698927313,0.6988437831,0.6988745568,0
2024-12-18 00:47:00+00:00,0.6988921284,0.699056268,0.698763192,0.6988833426,0
2024-12-18 00:48:00+00:00,0.6989009142,0.6989448846,0.6988613547,0.6988921284,0
2024-12-18 00:49:00+00:00,0.6989097,0.6989536704,0.6988701405,0.6989009142,0
2024-12-18 00:50:00+00:00,0.698958552,0.699007392,0.6989483058,0.699007392,0
2024-12-18 00:51:00+00:00,0.698909712,0.698958552,0.6988994658,0.698958552,0
2024-12-18 00:52:00+00:00,0.698860872,0.699007392,0.698729038,0.698909712,0
2024-12-18 00:53:00+00:00,0.698812032,0.698860872,0.6988017858,0.698860872,0
2024-12-18 00:54:00+00:00,0.698763192,0.698812032,0.6987529458,0.698812032,0
2024-12-18 00:55:00+00:00,0.6987426994,0.6988057135,0.6987217066,0.698729038,0
2024-12-18 00:56:00+00:00,0.6987563608,0.6988193749,0.698735368,0.6987426994,0
2024-12-18 00:57:00+00:00,0.6987700222,0.699007392,0.6987046,0.6987563608,0
