timestamp,block,token0_reserve,token1_reserve,k_last,total_supply,price
2025-07-01 00:00:09+00:00,17392678,67537959472,51406384903064049502806,0,55909277683034801,1.313804882396514
2025-07-01 00:00:14+00:00,17392683,67537959473,51406384902305184915421,0,55909277683034801,1.3138048824353614
2025-07-01 00:00:20+00:00,17392689,67537959537,51406384951143214415469,0,55909277736015284,1.3138048824321782
2025-07-01 00:00:25+00:00,17392694,67537959470,51406384900125002552498,0,55909277680528181,1.3138048824327222
2025-07-01 00:01:25+00:00,17392754,67537959469,51406384901125002552498,0,55909277680528181,1.3138048823877122
2025-07-01 00:01:29+00:00,17392758,67537959468,51406384902125002552498,0,55909277680528181,1.3138048823427022
2025-07-01 00:01:34+00:00,17392763,67537959481,51406384912125002552498,0,55909277691289841,1.3138048823400168
2025-07-01 00:03:09+00:00,17392858,67537959482,51406384911366137965080,0,55909277691289841,1.313804882378864
2025-07-01 00:03:18+00:00,17392867,67537959546,51406384960204167465128,0,55909277744270324,1.3138048823756807
2025-07-01 00:03:22+00:00,17392871,67537959479,51406384909185955600698,0,55909277688783221,1.313804882376225
2025-07-01 00:03:27+00:00,17392876,67537959480,51406384909185955600697,0,55909277688783221,1.3138048823956778
2025-07-01 00:04:26+00:00,17392935,67537959479,51406384910185955600697,0,55909277688783221,1.3138048823506676
2025-07-01 00:04:30+00:00,17392939,67537959478,51406384911185955600697,0,55909277688783221,1.3138048823056576
2025-07-01 00:04:35+00:00,17392944,67537959491,51406384921185955600697,0,55909277699544881,1.3138048823029722
2025-07-01 00:04:39+00:00,17392948,67537959490,51406384920389766976441,0,55909277698678951,1.3138048823038677
2025-07-01 00:06:08+00:00,17393037,67537959491,51406384919630902389002,0,55909277698678951,1.313804882342715
2025-07-01 00:06:13+00:00,17393042,67537959492,51406384918872037801586,0,55909277698678951,1.3138048823815625
2025-07-01 00:06:18+00:00,17393047,67537959556,51406384967710067301634,0,55909277751659434,1.313804882378379
2025-07-01 00:06:26+00:00,17393055,67537959557,51406384967710067301633,0,55909277751659434,1.3138048823978319
2025-07-01 00:07:21+00:00,17393110,67537959556,51406384968710067301633,0,55909277751659434,1.313804882352822
2025-07-01 00:07:33+00:00,17393122,67537959555,51406384967913878677383,0,55909277750793504,1.3138048823537174
2025-07-01 00:08:59+00:00,17393208,67537959556,51406384967155014089973,0,55909277750793504,1.3138048823925648
2025-07-01 00:09:03+00:00,17393212,67537959557,51406384966396149502585,0,55909277750793504,1.3138048824314121
2025-07-01 00:09:09+00:00,17393218,67537959621,51406385015234179002633,0,55909277803773987,1.3138048824282287
2025-07-01 00:09:17+00:00,17393226,67537959622,51406385015234179002632,0,55909277803773987,1.3138048824476816
2025-07-01 00:10:11+00:00,17393280,67537959621,51406385016234179002632,0,55909277803773987,1.3138048824026716
2025-07-01 00:10:19+00:00,17393288,67537959634,51406385026234179002632,0,55909277814535647,1.3138048823999862
2025-07-01 00:10:23+00:00,17393292,67537959633,51406385025437990378386,0,55909277813669717,1.3138048824008817
2025-07-01 00:11:49+00:00,17393378,67537959634,51406385024679125791003,0,55909277813669717,1.3138048824397288
2025-07-01 00:11:58+00:00,17393387,67537959698,51406385073517155291051,0,55909277866650200,1.3138048824365456
