timestamp,block,token0_reserve,token1_reserve,k_last,total_supply,price
2025-02-21 00:00:00+00:00,6161029,66536086324,50272445815768025418474,0,55908551777690419,1.3235100310781152
2025-02-21 00:00:04+00:00,6161033,66536084938,50272444770121190203714,0,55908550613702715,1.3235100310368217
2025-02-21 00:00:04+00:00,6161033,66536084939,50272444769121190203714,0,55908550613702715,1.32351003108304
2025-02-21 00:00:05+00:00,6161034,66536094938,50272452325787385016095,0,55908559016443974,1.3235100310368217
2025-02-21 00:00:09+00:00,6161038,66536094329,50272452787872807771330,0,55908558628454628,1.3235100067576264
2025-02-21 00:00:09+00:00,6161038,66536093868,50272452438996420647031,0,55908558628454628,1.323510006772374
2025-02-21 00:00:10+00:00,6161039,66536093881,50272452448996420647031,0,55908558639378191,1.3235100067676975
2025-02-21 00:00:11+00:00,6161040,66536094343,50272452798068205248271,0,55908559027584840,1.3235100067676975
2025-02-21 00:00:12+00:00,6161041,66536093420,50272452100297695361086,0,55908566654327759,1.3235100067777676
2025-02-21 00:00:12+00:00,6161041,66536103420,50272459655964028663780,0,55908566654327759,1.3235100067777676
2025-02-21 00:00:19+00:00,6161048,66536113420,50272467211630361966474,0,55908575057069094,1.3235100067777676
2025-02-21 00:00:23+00:00,6161052,66536099616,50272477673715784721709,0,55908575057069094,1.323509456761615
2025-02-21 00:00:23+00:00,6161052,66536112811,50272467673715784721709,0,55908575057069094,1.3235099824985799
2025-02-21 00:00:25+00:00,6161054,66536110078,50272485578457187626827,0,55908592250761982,1.323509456761615
2025-02-21 00:00:25+00:00,6161054,66536120078,50272493134126660868194,0,55908592250761982,1.323509456761615
2025-02-21 00:00:25+00:00,6161054,66536100078,50272478022787714385460,0,55908592250761982,1.323509456761615
2025-02-21 00:00:30+00:00,6161059,66536100079,50272478022794124322884,0,55908575445282952,1.323509456781338
2025-02-21 00:00:32+00:00,6161061,66536109470,50272486040549158812205,0,55908583848026108,1.3235094325021604
2025-02-21 00:00:32+00:00,6161061,66536099470,50272478484879547078119,0,55908583848026108,1.3235094325021604
2025-02-21 00:00:37+00:00,6161066,66536128547,50272500453744667958908,0,55908641890814902,1.3235094325220478
