timestamp,block,token0_reserve,token1_reserve,k_last,total_supply,price
2025-06-09 00:16:19+00:00,15492945,67552401794,51394562754916845989584,0,55908923468165534,1.314388102028115
2025-06-09 00:16:58+00:00,15492984,67552401795,51394562754158318125214,0,55908923468165534,1.3143881020669712
2025-06-09 00:17:27+00:00,15493013,67552401794,51394562755158318125214,0,55908923468165534,1.3143881020219395
2025-06-09 00:17:32+00:00,15493018,67552401793,51394562756158318125214,0,55908923468165534,1.3143881019769077
2025-06-09 00:17:37+00:00,15493023,67552401806,51394562766158318125214,0,55908923478924825,1.3143881019741082
2025-06-09 00:18:23+00:00,15493069,67552401807,51394562765399790260813,0,55908923478924825,1.3143881020129644
2025-06-09 00:19:06+00:00,15493112,67552401808,51394562764641262396434,0,55908923478924825,1.3143881020518207
2025-06-09 00:19:22+00:00,15493128,67552401809,51394562763882734532078,0,55908923478924825,1.314388102090677
2025-06-09 00:19:31+00:00,15493137,67552401873,51394562812720764032126,0,55908923531893646,1.3143881020869386
2025-06-09 00:19:36+00:00,15493142,67552401806,51394562761713961892525,0,55908923476406543,1.3143881020877701
2025-06-09 00:19:41+00:00,15493147,67552401807,51394562761713961892524,0,55908923476406543,1.3143881021072275
2025-06-09 00:19:49+00:00,15493155,67552401808,51394562760955434028200,0,55908923476406543,1.3143881021460837
2025-06-09 00:20:31+00:00,15493197,67552401809,51394562760196906163898,0,55908923476406543,1.31438810218494
2025-06-09 00:20:40+00:00,15493206,67552401808,51394562761196906163898,0,55908923476406543,1.3143881021399082
2025-06-09 00:20:44+00:00,15493210,67552401807,51394562762196906163898,0,55908923476406543,1.3143881020948764
2025-06-09 00:20:49+00:00,15493215,67552401820,51394562772196906163898,0,55908923487165834,1.314388102092077
2025-06-09 00:21:15+00:00,15493241,67552401821,51394562771438378299565,0,55908923487165834,1.3143881021309332
2025-06-09 00:21:58+00:00,15493284,67552401822,51394562770679850435254,0,55908923487165834,1.3143881021697894
2025-06-09 00:22:30+00:00,15493316,67552401823,51394562769921322570966,0,55908923487165834,1.3143881022086457
2025-06-09 00:22:35+00:00,15493321,67552401824,51394562769162794706700,0,55908923487165834,1.314388102247502
2025-06-09 00:22:40+00:00,15493326,67552401888,51394562818000824206748,0,55908923540134655,1.3143881022437636
2025-06-09 00:22:41+00:00,15493327,67552401889,51394562817242296342503,0,55908923540134655,1.3143881022826198
2025-06-09 00:22:49+00:00,15493335,67552401890,51394562817242296342502,0,55908923540134655,1.3143881023020771
2025-06-09 00:23:23+00:00,15493369,67552401891,51394562816483768478290,0,55908923540134655,1.3143881023409334
2025-06-09 00:23:49+00:00,15493395,67552401890,51394562817483768478290,0,55908923540134655,1.3143881022959016
2025-06-09 00:23:53+00:00,15493399,67552401889,51394562818483768478290,0,55908923540134655,1.3143881022508699
2025-06-09 00:23:57+00:00,15493403,67552401902,51394562828483768478290,0,55908923550893946,1.3143881022480703
2025-06-09 00:24:01+00:00,15493407,67552401901,51394562827687757913903,0,55908923550028016,1.3143881022489705
2025-06-09 00:24:05+00:00,15493411,67552401902,51394562826929230049661,0,55908923550028016,1.3143881022878268
2025-06-09 00:24:47+00:00,15493453,67552401903,51394562826170702185441,0,55908923550028016,1.314388102326683
2025-06-09 00:25:29+00:00,15493495,67552401904,51394562825412174321243,0,55908923550028016,1.3143881023655393
2025-06-09 00:25:37+00:00,15493503,67552401905,51394562824653646457068,0,55908923550028016,1.3143881024043955
2025-06-09 00:25:42+00:00,15493508,67552401906,51394562823895118592915,0,55908923550028016,1.3143881024432518
2025-06-09 00:25:47+00:00,15493513,67552401970,51394562872733148092963,0,55908923602996837,1.3143881024395137
2025-06-09 00:25:51+00:00,15493517,67552401903,51394562821726345958671,0,55908923547509734,1.3143881024403452
2025-06-09 00:25:56+00:00,15493522,67552401904,51394562821726345958670,0,55908923547509734,1.3143881024598023
2025-06-09 00:26:12+00:00,15493538,67552401905,51394562820967818094549,0,55908923547509734,1.3143881024986586
2025-06-09 00:26:54+00:00,15493580,67552401906,51394562820209290230451,0,55908923547509734,1.3143881025375148
2025-06-09 00:26:55+00:00,15493581,67552401905,51394562821209290230451,0,55908923547509734,1.314388102492483
2025-06-09 00:27:00+00:00,15493586,67552401904,51394562822209290230451,0,55908923547509734,1.3143881024474513
2025-06-09 00:27:05+00:00,15493591,67552401917,51394562832209290230451,0,55908923558269025,1.3143881024446518
2025-06-09 00:27:37+00:00,15493623,67552401918,51394562831450762366321,0,55908923558269025,1.314388102483508
2025-06-09 00:28:20+00:00,15493666,67552401919,51394562830692234502214,0,55908923558269025,1.3143881025223643
2025-06-09 00:28:44+00:00,15493690,67552401920,51394562829933706638129,0,55908923558269025,1.3143881025612205
2025-06-09 00:28:49+00:00,15493695,67552401921,51394562829175178774067,0,55908923558269025,1.3143881026000768
2025-06-09 00:28:54+00:00,15493700,67552401985,51394562878013208274115,0,55908923611237846,1.3143881025963386
2025-06-09 00:29:00+00:00,15493706,67552401918,51394562827006406142101,0,55908923555750743,1.31438810259717
2025-06-09 00:29:03+00:00,15493709,67552401919,51394562826247878278059,0,55908923555750743,1.3143881026360262
2025-06-09 00:29:46+00:00,15493752,67552401920,51394562825489350414040,0,55908923555750743,1.3143881026748825
2025-06-09 00:30:04+00:00,15493770,67552401919,51394562826489350414040,0,55908923555750743,1.3143881026298507
2025-06-09 00:30:10+00:00,15493776,67552401918,51394562827489350414040,0,55908923555750743,1.314388102584819
2025-06-09 00:30:15+00:00,15493781,67552401931,51394562837489350414040,0,55908923566510034,1.3143881025820194
2025-06-09 00:30:20+00:00,15493786,67552401930,51394562836693339849735,0,55908923565644104,1.3143881025829198
2025-06-09 00:30:30+00:00,15493796,67552401931,51394562835934811985685,0,55908923565644104,1.314388102621776
2025-06-09 00:31:13+00:00,15493839,67552401932,51394562835176284121658,0,55908923565644104,1.3143881026606323
2025-06-09 00:31:55+00:00,15493881,67552401933,51394562834417756257653,0,55908923565644104,1.3143881026994886
2025-06-09 00:31:57+00:00,15493883,67552401934,51394562833659228393671,0,55908923565644104,1.3143881027383448
2025-06-09 00:32:01+00:00,15493887,67552401935,51394562832900700529711,0,55908923565644104,1.314388102777201
2025-06-09 00:32:07+00:00,15493893,67552401999,51394562881738730029759,0,55908923618612925,1.3143881027734627
2025-06-09 00:32:12+00:00,15493898,67552401932,51394562830731927900776,0,55908923563125822,1.3143881027742943
2025-06-09 00:32:17+00:00,15493903,67552401933,51394562830731927900775,0,55908923563125822,1.3143881027937516
2025-06-09 00:32:39+00:00,15493925,67552401934,51394562829973400036847,0,55908923563125822,1.3143881028326079
2025-06-09 00:33:17+00:00,15493963,67552401933,51394562830973400036847,0,55908923563125822,1.3143881027875761
2025-06-09 00:33:21+00:00,15493967,67552401933,51394562831214872172915,0,55908923563125822,1.3143881027814006
2025-06-09 00:33:21+00:00,15493967,67552401934,51394562830214872172915,0,55908923563125822,1.3143881028264324
2025-06-09 00:33:26+00:00,15493972,67552401946,51394562841214872172915,0,55908923573885113,1.314388102778601
2025-06-09 00:33:31+00:00,15493977,67552401945,51394562840418861608658,0,55908923573019183,1.3143881027795012
2025-06-09 00:34:03+00:00,15494009,67552401946,51394562839660333744722,0,55908923573019183,1.3143881028183575
2025-06-09 00:34:46+00:00,15494052,67552401947,51394562838901805880808,0,55908923573019183,1.3143881028572137
2025-06-09 00:35:07+00:00,15494073,67552401948,51394562838143278016917,0,55908923573019183,1.31438810289607
2025-06-09 00:35:12+00:00,15494078,67552401949,51394562837384750153048,0,55908923573019183,1.3143881029349263
2025-06-09 00:35:17+00:00,15494083,67552402013,51394562886222779653096,0,55908923625988004,1.314388102931188
2025-06-09 00:35:22+00:00,15494088,67552401946,51394562835215977526392,0,55908923570500901,1.3143881029320195
2025-06-09 00:35:27+00:00,15494093,67552401947,51394562835215977526391,0,55908923570500901,1.3143881029514768
2025-06-09 00:35:30+00:00,15494096,67552401948,51394562834457449662554,0,55908923570500901,1.314388102990333
2025-06-09 00:36:12+00:00,15494138,67552401949,51394562833698921798739,0,55908923570500901,1.3143881030291893
2025-06-09 00:36:28+00:00,15494154,67552401948,51394562834698921798739,0,55908923570500901,1.3143881029841575
2025-06-09 00:36:37+00:00,15494163,67552401961,51394562844698921798739,0,55908923581260192,1.314388102981358
2025-06-09 00:36:42+00:00,15494168,67552401960,51394562843902911234533,0,55908923580394262,1.3143881029822582
2025-06-09 00:36:55+00:00,15494181,67552401961,51394562843144383370714,0,55908923580394262,1.3143881030211144
2025-06-09 00:37:37+00:00,15494223,67552401962,51394562842385855506917,0,55908923580394262,1.3143881030599707
2025-06-09 00:38:18+00:00,15494264,67552401963,51394562841627327643143,0,55908923580394262,1.314388103098827
2025-06-09 00:38:19+00:00,15494265,67552401964,51394562840868799779391,0,55908923580394262,1.3143881031376832
2025-06-09 00:38:28+00:00,15494274,67552402028,51394562889706829279439,0,55908923633363083,1.314388103133945
2025-06-09 00:38:33+00:00,15494279,67552401961,51394562838700027156005,0,55908923577875980,1.3143881031347764
2025-06-09 00:39:01+00:00,15494307,67552401962,51394562837941499292274,0,55908923577875980,1.3143881031736326
2025-06-09 00:39:36+00:00,15494342,67552401961,51394562838941499292274,0,55908923577875980,1.3143881031286009
2025-06-09 00:39:42+00:00,15494348,67552401960,51394562839941499292274,0,55908923577875980,1.3143881030835691
2025-06-09 00:39:44+00:00,15494350,67552401961,51394562839182971428513,0,55908923577875980,1.3143881031224254
2025-06-09 00:39:50+00:00,15494356,67552401960,51394562838386960864344,0,55908923577010050,1.3143881031233255
2025-06-09 00:40:27+00:00,15494393,67552401961,51394562837628433000606,0,55908923577010050,1.3143881031621818
2025-06-09 00:41:10+00:00,15494436,67552401962,51394562836869905136891,0,55908923577010050,1.314388103201038
2025-06-09 00:41:28+00:00,15494454,67552401963,51394562836111377273198,0,55908923577010050,1.3143881032398943
2025-06-09 00:41:33+00:00,15494459,67552401964,51394562835352849409527,0,55908923577010050,1.3143881032787506
2025-06-09 00:41:38+00:00,15494464,67552402028,51394562884190878909575,0,55908923629978871,1.3143881032750124
2025-06-09 00:41:43+00:00,15494469,67552401961,51394562833184076788528,0,55908923574491768,1.314388103275844
2025-06-09 00:41:53+00:00,15494479,67552401962,51394562832425548924878,0,55908923574491768,1.3143881033147002
2025-06-09 00:42:35+00:00,15494521,67552401963,51394562831667021061251,0,55908923574491768,1.3143881033535565
