1733040060,1.0,1.0,0.9999,0.9999,10586.0472,2
1733040120,1.0,1.0,1.0,1.0,114.222,1
1733040240,1.0,1.0,0.9999,0.9999,9840.1851,2
1733040300,1.0,1.0,1.0,1.0,285.8541,2
1733040420,0.9999,0.9999,0.9999,0.9999,321.7822,1
1733040480,0.9999,1.0,0.9999,0.9999,873.021743,3
1733040660,0.9999,0.9999,0.9999,0.9999,31.0612,1
1733040780,0.9999,0.9999,0.9999,0.9999,99019.9009999999,52
1733040840,0.9999,1.0,0.9999,1.0,28097.17523197,9
1733040900,1.0,1.0,1.0,1.0,220.4028,2
1733040960,1.0,1.0,1.0,1.0,1520.1069,1
1733041020,0.9999,0.9999,0.9999,0.9999,99009.901,4
1733041080,0.9999,0.9999,0.9999,0.9999,150247.5248,16
1733041140,1.0,1.0,1.0,1.0,81740.2322,1
1733041200,1.0,1.0,0.9999,1.0,20899.68516344,13
1733041260,1.0,1.0,1.0,1.0,12847.97537178,27
1733041320,1.0,1.0,0.9999,1.0,171615.12469889,41
1733041380,1.0,1.0,0.9999,0.9999,20119.75831585,27
1733041440,1.0,1.0,1.0,1.0,11159.64294398,26
1733041500,1.0,1.0,0.9999,0.9999,2296.89723754,3
1733041560,1.0,1.0,0.9999,1.0,43237.59597943,97
1733041620,1.0,1.0,0.9999,0.9999,8182.6879166,13
1733041680,1.0,1.0,0.9999,1.0,22854.96383834,48
1733041740,1.0,1.0,1.0,1.0,27491.71876696,52
1733041800,1.0,1.0,1.0,1.0,21311.14793415,41
1733041860,1.0,1.0,1.0,1.0,14857.99207795,26
1733041920,1.0,1.0,1.0,1.0,7998.77679336,7
1733041980,1.0,1.0,1.0,1.0,11310.01992801,18
1733042040,1.0,1.0,0.9999,0.9999,11318.93357802,12
1733042100,0.9999,0.9999,0.9999,0.9999,198.0198,1
1733042220,1.0,1.0,1.0,1.0,737.15873163,1
1733042280,0.9999,1.0,0.9999,0.9999,1435.94648882,3
1733042340,1.0,1.0,1.0,1.0,5990.11718896,6
