Price,Close,High,Low,Open,Volume
Ticker,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X,AUDUSD=X
Datetime,,,,,
2024-12-18 00:00:00+00:00,1.2709064481999999,1.2709629654999999,1.2709064481999999,1.270938754,0
2024-12-18 00:01:00+00:00,1.2708741423999999,1.2709306596999999,1.2708741423999999,1.2709064481999999,0
2024-12-18 00:02:00+00:00,1.2708418366,1.271019459,1.270777225,1.2708741423999999,0
2024-12-18 00:03:00+00:00,1.2708095308,1.2708660481,1.2708095308,1.2708418366,0
2024-12-18 00:04:00+00:00,1.270777225,1.2708337423,1.270777225,1.2708095308,0
2024-12-18 00:05:00+00:00,1.2708320858,1.270856333,1.270793319,1.270793319,0
2024-12-18 00:06:00+00:00,1.2708708526,1.2708950998000001,1.2708320858,1.2708320858,0
2024-12-18 00:07:00+00:00,1.2709096194,1.271067977,1.270793319,1.2708708526,0
2024-12-18 00:08:00+00:00,1.2709483862000002,1.2709726334000002,1.2709096194,1.2709096194,0
2024-12-18 00:09:00+00:00,1.270987153,1.2710114002000001,1.2709483862000002,1.2709483862000002,0
2024-12-18 00:10:00+00:00,1.2710065846,1.2710162761000001,1.2709888103,1.271003366,0
2024-12-18 00:11:00+00:00,1.2710098032,1.2710194947,1.2709920289,1.2710065846,0
2024-12-18 00:12:00+00:00,1.2710130218,1.271051764,1.270954847,1.2710098032,0
2024-12-18 00:13:00+00:00,1.2710162403999998,1.2710259319,1.2709984661,1.2710130218,0
2024-12-18 00:14:00+00:00,1.271019459,1.2710291505,1.2710016846999999,1.2710162403999998,0
2024-12-18 00:15:00+00:00,1.2710356236,1.2710356236,1.270987153,1.270987153,0
2024-12-18 00:16:00+00:00,1.2710840942000001,1.2710840942000001,1.2710356236,1.2710356236,0
2024-12-18 00:17:00+00:00,1.2711325648,1.271229506,1.270987153,1.2710840942000001,0
2024-12-18 00:18:00+00:00,1.2711810354000002,1.2711810354000002,1.2711325648,1.2711325648,0
2024-12-18 00:19:00+00:00,1.271229506,1.271229506,1.2711810354000002,1.2711810354000002,0
2024-12-18 00:20:00+00:00,1.2712133884,1.2712602734,1.2712133884,1.271245718,0
2024-12-18 00:21:00+00:00,1.2711810588,1.2712279438,1.2711810588,1.2712133884,0
2024-12-18 00:22:00+00:00,1.2711487291999999,1.271294236,1.27108407,1.2711810588,0
2024-12-18 00:23:00+00:00,1.2711163996,1.2711632845999998,1.2711163996,1.2711487291999999,0
2024-12-18 00:24:00+00:00,1.27108407,1.2711309549999998,1.27108407,1.2711163996,0
2024-12-18 00:25:00+00:00,1.2711971998,1.2712263106,1.2711552022,1.271164894,0
2024-12-18 00:26:00+00:00,1.2712295056,1.2712586164,1.271187508,1.2711971998,0
2024-12-18 00:27:00+00:00,1.2712618114,1.271423459,1.271132588,1.2712295056,0
2024-12-18 00:28:00+00:00,1.2712941172,1.271323228,1.2712521196,1.2712618114,0
2024-12-18 00:29:00+00:00,1.271326423,1.2713555338,1.2712844254,1.2712941172,0
2024-12-18 00:30:00+00:00,1.2713103535999999,1.2713637116,1.2713103535999999,1.271358848,0
2024-12-18 00:31:00+00:00,1.2712618592,1.2713152172,1.2712618592,1.2713103535999999,0
2024-12-18 00:32:00+00:00,1.2712133648,1.27137506,1.271116376,1.2712618592,0
2024-12-18 00:33:00+00:00,1.2711648704,1.2712182284,1.2711648704,1.2712133648,0
2024-12-18 00:34:00+00:00,1.271116376,1.271169734,1.271116376,1.2711648704,0
2024-12-18 00:35:00+00:00,1.2711422678,1.2711713788999999,1.271132588,1.271132588,0
2024-12-18 00:36:00+00:00,1.2711519476,1.2711810586999999,1.2711422678,1.2711422678,0
2024-12-18 00:37:00+00:00,1.2711616274,1.271278024,1.271132588,1.2711519476,0
2024-12-18 00:38:00+00:00,1.2711713072,1.2712004182999999,1.2711616274,1.2711616274,0
2024-12-18 00:39:00+00:00,1.271180987,1.2712100980999999,1.2711713072,1.2711713072,0
2024-12-18 00:40:00+00:00,1.271284485,1.271284485,1.2712489129,1.271278024,0
2024-12-18 00:41:00+00:00,1.271290946,1.271290946,1.2712553739,1.271284485,0
2024-12-18 00:42:00+00:00,1.271297407,1.271310329,1.271180987,1.271290946,0
2024-12-18 00:43:00+00:00,1.271303868,1.271303868,1.2712682959000001,1.271297407,0
2024-12-18 00:44:00+00:00,1.271310329,1.271310329,1.2712747569,1.271303868,0
2024-12-18 00:45:00+00:00,1.2713005784,1.2713361505,1.2712811948,1.271326423,0
2024-12-18 00:46:00+00:00,1.2712747338000001,1.2713103059,1.2712553502000001,1.2713005784,0
2024-12-18 00:47:00+00:00,1.2712488892,1.271358848,1.271132588,1.2712747338000001,0
2024-12-18 00:48:00+00:00,1.2712230446000001,1.2712586167,1.2712036610000002,1.2712488892,0
2024-12-18 00:49:00+00:00,1.2711972,1.2712327721,1.2711778164,1.2712230446000001,0
2024-12-18 00:50:00+00:00,1.2712004898,1.2712327956,1.2712004898,1.271213412,0
2024-12-18 00:51:00+00:00,1.2711875676,1.2712198734,1.2711875676,1.2712004898,0
2024-12-18 00:52:00+00:00,1.2711746454000001,1.271278024,1.271148801,1.2711875676,0
2024-12-18 00:53:00+00:00,1.2711617232,1.2711940290000001,1.2711617232,1.2711746454000001,0
2024-12-18 00:54:00+00:00,1.271148801,1.2711811068,1.271148801,1.2711617232,0
2024-12-18 00:55:00+00:00,1.2711164238,1.2711164238,1.2710857273,1.271100283,0
2024-12-18 00:56:00+00:00,1.2711325646,1.2711325646,1.2711018681,1.2711164238,0
